'Id', 'UserId', 'Name', 'Date', 'Class', 'TagBased'
'82946', '3718', 'Teacher', '2008-09-15T08:55:03.923', '3', 'False'
'82947', '994', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82949', '3893', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82950', '4591', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82951', '5196', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82952', '2635', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82953', '1113', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82954', '4182', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82955', '164', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82956', '652', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82957', '5246', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82958', '509', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82959', '670', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82960', '5024', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82961', '1284', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82962', '2907', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82963', '4097', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82964', '3205', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82965', '986', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82966', '4666', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82967', '883', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82968', '1261', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82969', '1635', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82970', '4262', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82971', '4997', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82972', '122', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82973', '782', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82974', '1693', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82975', '5806', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82976', '3494', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82977', '2839', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82978', '2626', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82979', '1120', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82980', '1304', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82981', '5504', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82982', '2482', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82983', '2147', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82985', '3594', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82986', '3659', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82987', '58', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82988', '2586', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82989', '1390', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82990', '581', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82992', '2137', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82993', '372', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82994', '3272', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82995', '969', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82996', '1620', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82997', '1065', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'82998', '2535', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
