Id,CreationDate,PostId,RelatedPostId,LinkTypeId
19,2010-04-26T02:59:48.130,109,32412,1
37,2010-04-26T02:59:48.600,1970,617600,1
42,2010-04-26T02:59:48.647,2154,2451138,1
48,2010-04-26T02:59:48.740,2483,496096,1
52,2010-04-26T02:59:48.757,2572,209329,1
58,2010-04-26T02:59:48.943,3376,2187,1
59,2010-04-26T02:59:48.943,3376,18080,1
63,2010-04-26T02:59:49.083,3859,802573,1
69,2010-04-26T02:59:49.240,4565,583532,1
70,2010-04-26T02:59:49.240,4582,1955663,1
72,2010-04-26T02:59:49.300,4850,1369312,1
74,2010-04-26T02:59:49.333,4952,1607,1
75,2010-04-26T02:59:49.333,4952,173,1
76,2010-04-26T02:59:49.333,4952,6371,1
81,2010-04-26T02:59:49.503,5724,131955,1
84,2010-04-26T02:59:49.583,6173,1732348,1
90,2010-04-26T02:59:49.957,7470,82872,1
96,2010-04-26T02:59:50.113,8170,245395,1
119,2010-04-26T02:59:50.440,9705,305694,1
121,2010-04-26T02:59:50.440,9751,371,1
126,2010-04-26T02:59:50.487,9926,619677,1
128,2010-04-26T02:59:56.213,10199,21280,1
130,2010-04-26T02:59:56.243,10293,98915,1
131,2010-04-26T02:59:56.243,10293,109762,1
134,2010-04-26T02:59:56.290,10524,110314,1
142,2010-04-26T02:59:56.400,11028,397089,1
144,2010-04-26T02:59:56.447,11330,9410,1
149,2010-04-26T02:59:56.617,11743,52176,1
150,2010-04-26T02:59:56.650,11919,155308,1
162,2010-04-26T02:59:57.180,14279,1711,1
164,2010-04-26T02:59:57.227,14413,17370,1
166,2010-04-26T02:59:57.320,14810,81543,1
168,2010-04-26T02:59:57.397,15240,679979,1
170,2010-04-26T02:59:57.413,15266,933331,1
178,2010-04-26T02:59:57.523,15732,290326,1
184,2010-04-26T02:59:57.647,16161,86515,1
185,2010-04-26T02:59:57.680,16167,1209866,1
187,2010-04-26T02:59:57.757,16248,56227,1
197,2010-04-26T02:59:57.880,16860,1383,1
198,2010-04-26T02:59:57.943,17125,384392,1
199,2010-04-26T02:59:57.943,17125,317619,1
206,2010-04-26T02:59:58.023,17489,60784,1
211,2010-04-26T02:59:58.163,18166,28395,1
217,2010-04-26T02:59:58.303,18803,117401,1
218,2010-04-26T02:59:58.303,18803,268231,1
219,2010-04-26T03:00:03.047,20564,1711,1
220,2010-04-26T03:00:03.047,20564,921180,1
221,2010-04-26T03:00:03.077,20702,105852,1
223,2010-04-26T03:00:03.107,20791,440762,1
228,2010-04-26T03:00:03.247,21583,12374,1
229,2010-04-26T03:00:03.293,21817,370962,1
234,2010-04-26T03:00:03.497,22909,803782,1
236,2010-04-26T03:00:03.607,23569,27928,1
237,2010-04-26T03:00:03.637,23689,55434,1
244,2010-04-26T03:00:03.780,24319,1711,1
247,2010-04-26T03:00:03.950,24901,1303899,1
249,2010-04-26T03:00:04.027,25227,11598,1
250,2010-04-26T03:00:04.073,25458,224232,1
254,2010-04-26T03:00:04.230,26086,122784,1
256,2010-04-26T03:00:04.357,26323,6173,1
257,2010-04-26T03:00:04.370,26509,5010,1
258,2010-04-26T03:00:04.370,26509,34898,1
266,2010-04-26T03:00:04.463,26800,453191,1
269,2010-04-26T03:00:04.713,27578,61604,1
270,2010-04-26T03:00:04.713,27578,33497,1
275,2010-04-26T03:00:04.823,28080,301959,1
276,2010-04-26T03:00:04.823,28080,579887,1
283,2010-04-26T03:00:05.010,28950,76595,1
284,2010-04-26T03:00:05.043,29040,381049,1
287,2010-04-26T03:00:05.573,29736,138621,1
288,2010-04-26T03:00:05.573,29736,77485,1
289,2010-04-26T03:00:05.573,29736,237,1
290,2010-04-26T03:00:05.573,29736,10490,1
297,2010-04-26T03:00:06.057,30915,419096,1
309,2010-04-26T03:00:07.320,33513,10490,1
312,2010-04-26T03:00:07.617,34516,319632,1
314,2010-04-26T03:00:07.647,34655,754519,1
317,2010-04-26T03:00:07.710,34920,72312,1
318,2010-04-26T03:00:07.740,35007,923343,1
319,2010-04-26T03:00:07.757,35178,72312,1
321,2010-04-26T03:00:07.850,35563,105349,1
322,2010-04-26T03:00:07.850,35564,877943,1
329,2010-04-26T03:00:08.070,36546,8044,1
330,2010-04-26T03:00:08.117,36772,6937,1
336,2010-04-26T03:00:08.333,37731,62605,1
338,2010-04-26T03:00:08.363,37809,25259,1
339,2010-04-26T03:00:08.380,37887,279169,1
340,2010-04-26T03:00:08.380,37887,1233655,1
349,2010-04-26T03:00:08.537,38508,61605,1
350,2010-04-26T03:00:08.553,38548,551514,1
353,2010-04-26T03:00:08.583,38652,12008,1
355,2010-04-26T03:00:08.647,38746,121392,1
357,2010-04-26T03:00:08.753,39222,556255,1
358,2010-04-26T03:00:08.770,39256,18080,1
363,2010-04-26T03:00:15.307,40122,65008,1
365,2010-04-26T03:00:15.337,40230,170346,1
370,2010-04-26T03:00:15.447,40773,225350,1
373,2010-04-26T03:00:15.540,41290,41568,1
385,2010-04-26T03:00:16.320,42649,810085,1
386,2010-04-26T03:00:16.320,42670,263723,1
398,2010-04-26T03:00:16.493,43458,45600,1
401,2010-04-26T03:00:16.570,43778,134581,1
404,2010-04-26T03:00:16.727,44476,2041783,1
410,2010-04-26T03:00:16.943,45424,173846,1
419,2010-04-26T03:00:17.350,47262,40853,1
420,2010-04-26T03:00:17.367,47315,179332,1
421,2010-04-26T03:00:17.430,47656,73527,1
427,2010-04-26T03:00:17.740,48669,31722,1
429,2010-04-26T03:00:17.770,48794,467855,1
435,2010-04-26T03:00:18.067,50096,1462284,1
439,2010-04-26T03:00:18.147,50339,108699,1
441,2010-04-26T03:00:18.193,50529,16367,1
442,2010-04-26T03:00:18.223,50746,1417021,1
446,2010-04-26T03:00:18.350,51217,222827,1
447,2010-04-26T03:00:18.363,51309,158875,1
449,2010-04-26T03:00:18.427,51561,74326,1
450,2010-04-26T03:00:18.443,51584,107872,1
453,2010-04-26T03:00:18.613,52353,1907318,1
455,2010-04-26T03:00:18.630,52398,1146347,1
457,2010-04-26T03:00:18.677,52580,1305709,1
458,2010-04-26T03:00:18.693,52668,10425,1
460,2010-04-26T03:00:18.753,52952,1206596,1
462,2010-04-26T03:00:18.817,53139,78756,1
463,2010-04-26T03:00:18.817,53178,1103637,1
464,2010-04-26T03:00:18.910,53426,45627,1
465,2010-04-26T03:00:18.957,53598,18557,1
467,2010-04-26T03:00:18.990,53734,18783,1
468,2010-04-26T03:00:18.990,53734,137226,1
469,2010-04-26T03:00:18.990,53757,288942,1
476,2010-04-26T03:00:19.130,54223,19642,1
478,2010-04-26T03:00:19.160,54423,1644,1
480,2010-04-26T03:00:19.363,54795,375913,1
481,2010-04-26T03:00:19.393,54882,421280,1
485,2010-04-26T03:00:19.487,55075,1935,1
492,2010-04-26T03:00:19.567,55437,53065,1
493,2010-04-26T03:00:19.597,55576,43324,1
494,2010-04-26T03:00:19.643,55768,848091,1
499,2010-04-26T03:00:19.987,56672,375913,1
501,2010-04-26T03:00:20.080,56981,86181,1
506,2010-04-26T03:00:20.283,57762,45783,1
509,2010-04-26T03:00:20.423,58362,219872,1
519,2010-04-26T03:00:20.597,58886,14762,1
520,2010-04-26T03:00:20.720,59267,407770,1
527,2010-04-26T03:00:20.907,59893,2525,1
539,2010-04-26T03:00:21.127,60793,45191,1
550,2010-04-26T03:00:21.233,61217,56279,1
551,2010-04-26T03:00:21.233,61219,1276308,1
553,2010-04-26T03:00:21.267,61278,266373,1
555,2010-04-26T03:00:21.280,61354,347502,1
557,2010-04-26T03:00:21.343,61559,18450,1
560,2010-04-26T03:00:21.500,62110,42826,1
561,2010-04-26T03:00:21.500,62110,258840,1
562,2010-04-26T03:00:21.500,62126,61959,1
571,2010-04-26T03:00:21.593,62389,61669,1
572,2010-04-26T03:00:21.623,62491,67559,1
574,2010-04-26T03:00:21.640,62542,3626,1
577,2010-04-26T03:00:21.720,62689,47981,1
578,2010-04-26T03:00:21.720,62694,43649,1
579,2010-04-26T03:00:21.720,62694,664,1
580,2010-04-26T03:00:21.750,62892,38674,1
581,2010-04-26T03:00:21.780,62987,37791,1
582,2010-04-26T03:00:21.780,62987,51827,1
583,2010-04-26T03:00:21.780,62987,11194,1
589,2010-04-26T03:00:21.860,63399,81934,1
590,2010-04-26T03:00:21.890,63536,56704,1
591,2010-04-26T03:00:21.890,63536,102161,1
592,2010-04-26T03:00:21.967,63632,291455,1
593,2010-04-26T03:00:22.047,63671,51526,1
594,2010-04-26T03:00:22.187,63756,62603,1
595,2010-04-26T03:00:22.203,63801,63297,1
597,2010-04-26T03:00:22.263,63995,41792,1
604,2010-04-26T03:00:22.437,64621,881563,1
607,2010-04-26T03:00:22.483,64843,66840,1
610,2010-04-26T03:00:22.500,64898,63297,1
616,2010-04-26T03:00:22.547,65039,38998,1
618,2010-04-26T03:00:22.623,65491,28932,1
622,2010-04-26T03:00:22.670,65718,650,1
623,2010-04-26T03:00:22.717,66037,6327,1
624,2010-04-26T03:00:22.717,66037,4002,1
625,2010-04-26T03:00:22.717,66037,8506,1
626,2010-04-26T03:00:22.717,66037,24692,1
627,2010-04-26T03:00:22.717,66037,53887,1
629,2010-04-26T03:00:22.763,66288,80799,1
630,2010-04-26T03:00:22.780,66402,412019,1
631,2010-04-26T03:00:22.793,66452,63297,1
632,2010-04-26T03:00:22.793,66452,63801,1
633,2010-04-26T03:00:22.793,66452,64898,1
634,2010-04-26T03:00:22.810,66542,123234,1
635,2010-04-26T03:00:22.827,66671,18224,1
636,2010-04-26T03:00:22.857,66776,1649264,1
637,2010-04-26T03:00:22.873,66819,63694,1
638,2010-04-26T03:00:22.903,66880,63668,1
639,2010-04-26T03:00:22.967,67004,64723,1
640,2010-04-26T03:00:22.967,67004,83547,1
644,2010-04-26T03:00:23.030,67135,62491,1
645,2010-04-26T03:00:23.060,67302,5119,1
651,2010-04-26T03:00:23.233,68243,41785,1
654,2010-04-26T03:00:23.280,68460,68985,1
656,2010-04-26T03:00:23.340,68691,2861,1
658,2010-04-26T03:00:23.373,68920,3247,1
659,2010-04-26T03:00:23.387,68985,377604,1
660,2010-04-26T03:00:23.403,69030,69391,1
661,2010-04-26T03:00:23.403,69076,353880,1
662,2010-04-26T03:00:23.433,69188,577481,1
672,2010-04-26T03:00:23.467,69281,54886,1
673,2010-04-26T03:00:23.467,69281,20529,1
674,2010-04-26T03:00:23.467,69281,48390,1
675,2010-04-26T03:00:23.467,69296,20084,1
676,2010-04-26T03:00:23.480,69375,484,1
678,2010-04-26T03:00:23.527,69591,890686,1
679,2010-04-26T03:00:23.543,69722,36778,1
