id,posttypeid,acceptedanswerid,creationdate,score,viewcount,body,owneruserid,lasteditoruserid,lasteditordisplayname,lasteditdate,lastactivitydate,title,tags,answercount,commentcount,favoritecount,communityowneddate
4,1,7,2008-07-31T21:42:52.667,604,39047,"<p>I want to use a track-bar to change a form's opacity.</p>

<p>This is my code:</p>

<pre><code>decimal trans = trackBar1.Value / 5000;
this.Opacity = trans;
</code></pre>

<p>When I build the application, it gives the following error:</p>

<blockquote>
  <p>Cannot implicitly convert type <code>'decimal'</code> to <code>'double'</code>.</p>
</blockquote>

<p>I tried using <code>trans</code> and <code>double</code> but then the control doesn't work. This code worked fine in a past VB.NET project.</p>
",8,6786713,Rich B,2018-07-02T17:55:27.247,2019-01-17T13:39:48.937,Convert Decimal to Double?,<c#><floating-point><type-conversion><double><decimal>,13,2,46,2012-10-31T16:42:47.213
6,1,31,2008-07-31T22:08:08.620,273,17307,"<p>I have an absolutely positioned <code>div</code> containing several children, one of which is a relatively positioned <code>div</code>. When I use a <strong>percentage-based width</strong> on the child <code>div</code>, it collapses to '0' width on <a href=""http://en.wikipedia.org/wiki/Internet_Explorer_7"" rel=""noreferrer"">Internet&nbsp;Explorer&nbsp;7</a>, but not on Firefox or Safari.</p>

<p>If I use <strong>pixel width</strong>, it works. If the parent is relatively positioned, the percentage width on the child works.</p>

<ol>
<li>Is there something I'm missing here?</li>
<li>Is there an easy fix for this besides the <em>pixel-based width</em> on the
child?</li>
<li>Is there an area of the CSS specification that covers this?</li>
</ol>
",9,63550,Rich B,2016-03-19T06:05:48.487,2018-12-15T03:57:18.220,Percentage width child element in absolutely positioned parent on Internet Explorer 7,<html><css><css3><internet-explorer-7>,6,0,11,
7,2,,2008-07-31T22:17:57.883,418,,"<p>An explicit cast to double like this isn't necessary:</p>

<pre><code>double trans = (double) trackBar1.Value / 5000.0;
</code></pre>

<p>Identifying the constant as <code>5000.0</code> (or as <code>5000d</code>) is sufficient:</p>

<pre><code>double trans = trackBar1.Value / 5000.0;
double trans = trackBar1.Value / 5000d;
</code></pre>
",9,4020527,,2017-12-16T05:06:57.613,2017-12-16T05:06:57.613,,,,0,,
9,1,1404,2008-07-31T23:40:59.743,1743,519379,"<p>Given a <code>DateTime</code> representing a person's birthday, how do I calculate their age in years?  </p>
",1,3956566,Rich B,2018-04-21T17:48:14.477,2018-07-25T11:57:14.110,How do I calculate someone's age in C#?,<c#><.net><datetime>,63,7,417,2011-08-16T19:40:43.080
11,1,1248,2008-07-31T23:55:37.967,1409,142726,"<p>Given a specific <code>DateTime</code> value, how do I display relative time, like:</p>

<ul>
<li>2 hours ago</li>
<li>3 days ago</li>
<li>a month ago</li>
</ul>
",1,6479704,user2370523,2017-06-04T15:51:19.780,2019-01-03T08:03:07.237,Calculate relative time in C#,<c#><datetime><time><datediff><relative-time-span>,36,3,536,2009-09-04T13:15:59.820
12,2,,2008-07-31T23:56:41.303,326,,"<p>Here's how I do it</p>

<pre class=""lang-csharp prettyprint-override""><code>var ts = new TimeSpan(DateTime.UtcNow.Ticks - dt.Ticks);
double delta = Math.Abs(ts.TotalSeconds);

if (delta &lt; 60)
{
  return ts.Seconds == 1 ? ""one second ago"" : ts.Seconds + "" seconds ago"";
}
if (delta &lt; 120)
{
  return ""a minute ago"";
}
if (delta &lt; 2700) // 45 * 60
{
  return ts.Minutes + "" minutes ago"";
}
if (delta &lt; 5400) // 90 * 60
{
  return ""an hour ago"";
}
if (delta &lt; 86400) // 24 * 60 * 60
{
  return ts.Hours + "" hours ago"";
}
if (delta &lt; 172800) // 48 * 60 * 60
{
  return ""yesterday"";
}
if (delta &lt; 2592000) // 30 * 24 * 60 * 60
{
  return ts.Days + "" days ago"";
}
if (delta &lt; 31104000) // 12 * 30 * 24 * 60 * 60
{
  int months = Convert.ToInt32(Math.Floor((double)ts.Days / 30));
  return months &lt;= 1 ? ""one month ago"" : months + "" months ago"";
}
int years = Convert.ToInt32(Math.Floor((double)ts.Days / 365));
return years &lt;= 1 ? ""one year ago"" : years + "" years ago"";
</code></pre>

<p>Suggestions? Comments? Ways to improve this algorithm?</p>
",1,1271898,GateKiller,2018-01-12T16:10:22.637,2018-01-12T16:10:22.637,,,,11,,2009-09-04T13:15:59.820
13,1,,2008-08-01T00:42:38.903,568,165149,"<p>Is there a standard way for a web server to be able to determine a user's timezone within a web page? </p>

<p>Perhaps from an HTTP header or part of the <code>user-agent</code> string?</p>
",9,9752662,Rich B,2018-12-24T22:47:42.787,2019-02-25T18:10:55.610,Determine a user's timezone,<html><browser><timezone><user-agent><timezone-offset>,24,10,144,
14,1,,2008-08-01T00:59:11.177,390,115410,"<p>What is the difference between <a href=""http://msdn.microsoft.com/en-us/library/9a6a2sxy.aspx"" rel=""noreferrer""><code>Math.Floor()</code></a> and <a href=""http://msdn.microsoft.com/en-us/library/system.math.truncate.aspx"" rel=""noreferrer""><code>Math.Truncate()</code></a> in .NET?</p>
",11,6495084,Rich B,2017-02-25T17:42:17.810,2018-09-19T03:49:19.447,Difference between Math.Floor() and Math.Truncate(),<.net><math>,10,4,54,
16,1,12446,2008-08-01T04:59:33.643,121,80498,"<p>How do you expose a LINQ query as an ASMX web service? Usually, from the business tier, I can return a typed <code>DataSet</code> or <code>DataTable</code> which can be serialized for transport over ASMX.</p>

<p>How can I do the same for a LINQ query? Is there a way to populate a typed <code>DataSet</code> or <code>DataTable</code> via a LINQ query?</p>

<pre><code>public static MyDataTable CallMySproc()
{
    string conn = ""..."";

    MyDatabaseDataContext db = new MyDatabaseDataContext(conn);
    MyDataTable dt = new MyDataTable();

    // execute a sproc via LINQ
    var query = from dr
                in db.MySproc().AsEnumerable
                select dr;

    // copy LINQ query resultset into a DataTable -this does not work !    
    dt = query.CopyToDataTable();

    return dt;
}
</code></pre>

<p>How can I get the result set of a LINQ query into a <code>DataSet</code> or <code>DataTable</code>? Alternatively, is the LINQ query serializable so that I can expose it as an ASMX web service?</p>
",2,567854,Chris Fournier,2019-01-20T13:50:51.557,2019-01-20T13:50:51.557,Filling a DataSet or DataTable from a LINQ query result set,<c#><linq><web-services><.net-3.5>,6,0,14,
17,1,26,2008-08-01T05:09:55.993,171,68968,"<p>How do I store binary data in <a href=""http://en.wikipedia.org/wiki/MySQL"" rel=""noreferrer"">MySQL</a>?</p>
",2,546051,,2011-10-21T21:29:17.160,2018-01-20T09:06:34.963,Binary Data in MySQL,<mysql><database><binary-data><data-storage>,9,3,19,
