id,reputation,creationdate,displayname,lastaccessdate,websiteurl,location,aboutme,views,upvotes,downvotes,profileimageurl,accountid
-1,1,2008-07-31T00:00:00.000,Community,2008-08-26T00:16:53.810,http://meta.stackexchange.com/,on the server farm,"<p>Hi, I'm not really a person.</p>

<p>I'm a background process that helps keep this site clean!</p>

<p>I do things like</p>

<ul>
<li>Randomly poke old unanswered questions every hour so they get some attention</li>
<li>Own community questions and answers so nobody gets unnecessary reputation from them</li>
<li>Own downvotes on spam/evil posts that get permanently deleted</li>
<li>Own suggested edits from anonymous users</li>
<li><a href=""http://meta.stackexchange.com/a/92006"">Remove abandoned questions</a></li>
</ul>
",649,324384,1093334,,-1
1,45742,2008-07-31T14:22:31.287,Jeff Atwood,2019-02-28T21:39:23.707,http://www.codinghorror.com/blog/,"El Cerrito, CA","<p><a href=""http://www.codinghorror.com/blog/archives/001169.html"" rel=""nofollow"">Stack Overflow Valued Associate #00001</a></p>

<p>Wondering how our software development process works? <a href=""http://www.youtube.com/watch?v=08xQLGWTSag"" rel=""nofollow"">Take a look!</a></p>

<p>Find me <a href=""http://twitter.com/codinghorror"" rel=""nofollow"">on twitter</a>, or <a href=""http://www.codinghorror.com/blog"" rel=""nofollow"">read my blog</a>. Don't say I didn't warn you <em>because I totally did</em>.</p>

<p>However, <a href=""http://www.codinghorror.com/blog/2012/02/farewell-stack-exchange.html"" rel=""nofollow"">I no longer work at Stack Exchange, Inc</a>. I'll miss you all. Well, <em>some</em> of you, anyway. :)</p>
",454747,3373,1310,https://www.gravatar.com/avatar/51d623f33f8b83095db84ff35e15dbe8?s=128&amp;d=identicon&amp;r=PG,1
2,3582,2008-07-31T14:22:31.287,Geoff Dalgas,2019-02-25T19:37:07.033,http://stackoverflow.com,"Corvallis, OR","<p>Developer on the Stack Overflow team.  Find me on</p>

<p><a href=""http://www.twitter.com/SuperDalgas"" rel=""nofollow noreferrer"">Twitter</a>
<br><br>
<a href=""http://blog.stackoverflow.com/2009/05/welcome-stack-overflow-valued-associate-00003/"">Stack Overflow Valued Associate #00003</a></p>
",24787,654,88,https://i.stack.imgur.com/nDllk.png?s=256&g=1,2
3,13591,2008-07-31T14:22:31.287,Jarrod Dixon,2019-02-27T18:07:14.680,http://jarroddixon.com,"Raleigh, NC, United States","<p><a href=""http://blog.stackoverflow.com/2009/01/welcome-stack-overflow-valued-associate-00002/"">Developer on the Stack Overflow team</a>.</p>

<p>Was dubbed <strong>SALTY SAILOR</strong> by Jeff Atwood, as filth and flarn would oft-times fly when dealing with a particularly nasty bug!</p>

<ul>
<li>Twitter me: <a href=""http://twitter.com/jarrod_dixon"" rel=""nofollow noreferrer"">jarrod_dixon</a></li>
<li>Email me: jarrod.m.dixon@gmail.com</li>
</ul>
",24985,7381,100,https://i.stack.imgur.com/2mwFl.jpg?s=256&g=1,3
4,29230,2008-07-31T14:22:31.317,Joel Spolsky,2019-02-08T20:43:03.213,http://www.joelonsoftware.com/,"New York, NY","<p>I am:</p>

<ul>
<li>the co-founder and CEO of <a href=""http://stackoverflow.com"">Stack Overflow</a></li>
<li>the co-founder of <a href=""http://www.fogcreek.com"" rel=""nofollow noreferrer"">Fog Creek Software</a></li>
<li>the creator of <a href=""http://trello.com"" rel=""nofollow noreferrer"">Trello</a> (now owned by Atlassian)</li>
</ul>

<p>You can find me on my rarely-updated blog, <a href=""http://joelonsoftware.com"" rel=""nofollow noreferrer"">Joel on Software</a>.</p>
",75102,800,96,https://i.stack.imgur.com/C5gBG.jpg?s=128&g=1,4
5,39973,2008-07-31T14:22:31.317,Jon Galloway,2019-03-01T17:09:51.590,http://weblogs.asp.net/jgalloway/,"San Diego, CA","<p>Technical Evangelist at Microsoft, specializing in ASP.NET MVC.</p>

<p>I don't use this site anymore because the moderators close or delete far too many of the useful questions.</p>
",12147,783,34,,5
8,942,2008-07-31T21:33:24.057,Eggs McLaren,2018-04-09T02:04:55.577,,,"<p>This is a puppet test account I use to validate ""regular user"" stuff on the site</p>
<p>-- <a href=""http://stackoverflow.com/users/1/jeff-atwood"" rel=""nofollow"">Jeff Atwood</a>",6661,12,9,,6
9,15163,2008-07-31T21:35:26.517,Kevin Dente,2018-11-17T01:12:56.980,http://weblogs.asp.net/kdente,"Oakland, CA","<p>Independent software engineer</p>
",5215,46,4,,7
10,101,2008-07-31T21:57:06.240,Sneakers O'Toole,2018-06-08T05:11:12.523,https://www.youtube.com/watch?v=OcSKd13mKUY,"Morganton, North Carolina United States","<p>I'm not takin' my sneakers off!
<br><br>
Actually, <b>I'm a test account</b>, used to help debug problems here on StackOverflow.</p>
",3862,0,0,,8
11,1978,2008-08-01T00:59:11.147,Anonymous User,2008-08-01T00:59:11.147,,,,2259,0,0,,561854
13,183091,2008-08-01T04:18:04.943,Chris Jester-Young,2019-03-02T09:59:53.323,http://about.cky.nz/,"Raleigh, NC, United States","<p>Quick links:</p>

<ul>
<li><a href=""http://about.cky.nz/"" rel=""nofollow noreferrer"">About me</a>, <a href=""https://github.com/cky"" rel=""nofollow noreferrer"">GitHub</a>, <a href=""https://twitter.com/cky944"" rel=""nofollow noreferrer"">@cky944</a></li>
<li><a href=""https://wiselike.com/cky"" rel=""nofollow noreferrer"">Ask me anything!</a></li>
<li><a href=""http://careers.stackoverflow.com/cky"">SO Careers profile</a></li>
<li><a href=""https://dyscourse.quora.com/"" rel=""nofollow noreferrer"">Programming blog</a></li>
</ul>

<hr>

<p>I'm a New Zealander, and I speak and write in New Zealand English.</p>

<p>If you'd like to edit my posts for spelling, please verify whether my spelling is correct in New Zealand; if so, I will likely revert your spelling ""fix"".</p>

<p>In particular, in New Zealand, we use:</p>

<ul>
<li><em>-ise</em> (e.g., optimise) and <em>-yse</em> (e.g., analyse) instead of <em>-ize</em> or <em>-yze</em></li>
<li>enrol, distil, and instil (with one <em>l</em>), and likewise enrolment and instalment (but install)</li>
<li>colour, humour, glamour, and labour (with a <em>u</em>) when on its own, but without a <em>u</em> in some compound forms (humorous, glamorous, and laborious, but colourful)</li>
<li><em>-t</em> forms for the past tenses of some verbs, such as dreamt, learnt, leant, and spelt, much akin to slept, meant, lent, and spent</li>
<li>manoeuvre, oestrogen, oesophagus, aesthetics, encyclopaedia, paediatrics, etc., where US English would use <em>e-</em> instead of <em>ae-</em> or <em>oe-</em></li>
<li>offence, defence, licence, practice (when used as noun); license, practise (when used as verb)</li>
<li>manoeuvre, centre, metre, litre, mitre, etc., where US English would use <em>-er</em> instead of <em>-re</em></li>
<li>Macca's, where US English would use Mickey D's ;-)</li>
</ul>

<p>This list is not exhaustive. :-)</p>

<hr>

<p>All the code snippets I post on Stack Overflow are licensed under <a href=""http://creativecommons.org/publicdomain/zero/1.0/"" rel=""nofollow noreferrer"">CC0</a>, unless otherwise specified.<sup>†</sup> In short: Free as in <a href=""http://en.wikipedia.org/wiki/Free_love"" rel=""nofollow noreferrer"">free love</a>. Reuse to your heart's content! :-D</p>

<p>(This does not in any way contradict the site policy of licensing everything under CC-Wiki; it simply gives users even more freedom. In particular, you are not obliged to link back to SO when you use my code snippets.)</p>

<p><sup>†</sup> This additional CC0 licence applies to my code snippets on Stack Overflow only. It does not apply to other Stack Exchange sites that my profile might happen to get copied to. In particular, I do not grant this licence to my posts on <a href=""http://codegolf.stackexchange.com/"">Code Golf Stack Exchange</a>.</p>
",37429,5205,210,,9
16,557,2008-08-01T12:01:53.023,Rodrigo Sieiro,2019-03-02T19:59:09.237,,"Uberlândia, Minas Gerais, Brazil","<p>iOS Developer at Airtime.</p>

<p>Amateur barista, runner, tattoo enthusiast.</p>
",1083,49,3,,11
17,45592,2008-08-01T12:02:21.617,Nick Berardi,2019-03-01T17:55:24.503,http://nickberardi.com,"Issaquah, WA","<p>In my spare time when not working as a software developer, I contribute to a couple open source projects that I am quite proud of:</p>

<ul>
<li><p><a href=""http://code.google.com/p/elmah"" rel=""nofollow noreferrer"">ELMAH</a> (Error Logging Modules and Handlers) is an application-wide error logging facility that is completely pluggable. </p></li>
<li><p><a href=""https://github.com/managedfusion/managedfusion-rewriter"" rel=""nofollow noreferrer"">URL Rewriter</a> a .NET module which mimics the Apache mod_rewrite syntax for support in IIS and Casini</p></li>
<li><p><a href=""https://github.com/managedfusion/fluentcassandra"" rel=""nofollow noreferrer"">Fluent Cassandra</a> a .NET client for accessing the NoSQL Apache Cassandra database.</p></li>
</ul>

<p>Oh yeah and I also wrote a book:</p>

<ul>
<li>Co-authors of <a href=""https://rads.stackoverflow.com/amzn/click/0470410957"" rel=""nofollow noreferrer"">ASP.NET MVC 1.0 Website Programming: Problem - Design - Solution</a> published by Wrox and released in June 2009.</li>
</ul>
",4941,885,216,,12
19,1407,2008-08-01T12:05:14.233,Mads Kristiansen,2019-03-01T08:59:37.200,https://gitlab.com/madskristiansen,"Denmark, Europe",,910,36,12,https://i.stack.imgur.com/tVlbc.png?s=128&g=1,13
20,8840,2008-08-01T12:09:11.010,Tom,2016-12-20T20:03:00.167,http://tommcfarlin.com,"Atlanta, GA",,1714,370,38,,14
22,13531,2008-08-01T12:11:11.897,Matt MacLean,2019-03-01T22:53:47.730,,"Calgary, Canada","<p><a href=""https://www.certmetrics.com/amazon/public/badge.aspx?i=1&amp;t=c&amp;d=2018-01-11&amp;ci=AWS00408304"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/V7O1T.png"" alt=""AWS Certified Solutions Architect Associate""></a>
<a href=""https://www.certmetrics.com/amazon/public/badge.aspx?i=2&amp;t=c&amp;d=2018-01-13&amp;ci=AWS00408304"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/G2dk9.png"" alt=""AWS Certified Developer Associate""></a></p>
",1140,203,5,,15
23,4446,2008-08-01T12:11:43.703,Jax,2019-03-01T18:38:52.303,,"Charlotte, NC, United States",,810,609,7,https://i.stack.imgur.com/QWTks.jpg?s=128&g=1,16
24,3279,2008-08-01T12:12:53.453,sanmiguel,2019-02-26T09:49:39.660,,"London, United Kingdom","<p>-behaviour(gen_ale_drinker).</p>
",475,537,3,,17
25,17581,2008-08-01T12:15:23.243,CodingWithoutComments,2018-05-03T20:41:05.130,http://www.codingwithoutcomments.com,"Seattle, Washington United States","<p>a man, a plan, a canal, panama</p>
",3982,539,83,,18
26,11624,2008-08-01T12:18:14.520,Shawn,2018-04-11T04:40:35.660,,"San Francisco, CA","<p>a long time ago i found an xss vuln here and took down the entire site<br/><br/>
userid 26, respect</p>
",3452,565,67,https://www.gravatar.com/avatar/?s=128&d=identicon&r=PG&f=1,19
27,1291,2008-08-01T12:21:40.020,denny,2019-02-28T18:00:54.257,,"Winchester, VA","<p>I write shitty, buggy code...but that's okay.</p>
",398,376,3,,20
