Id,PostHistoryTypeId,PostId,RevisionGUID,CreationDate,UserId,Text
6,2,7,c30df0f4-a2d9-426e-a2dd-2cc3aa4d9205,2008-07-31T22:17:57.883,9,The explicit cast to double in the first answer isn't necessary - identifying the constant as 5000.0 (or as 5000d) is sufficient.
12,1,17,0421fb42-a29a-4cb2-84ba-a828725410f8,2008-08-01T05:09:55.993,2,Binary Data in MYSQL
13,3,17,0421fb42-a29a-4cb2-84ba-a828725410f8,2008-08-01T05:09:55.993,2,<database><mysql>
14,2,17,0421fb42-a29a-4cb2-84ba-a828725410f8,2008-08-01T05:09:55.993,2,How do I store binary data in mysql?
16,2,18,0cfdfa19-039f-4645-8a48-1c316543b98f,2008-08-01T05:12:44.193,,"For a table like this:

    CREATE TABLE binary_data (
    id INT(4) NOT NULL AUTO_INCREMENT PRIMARY KEY,
    description CHAR(50),
    bin_data LONGBLOB,
    filename CHAR(50),
    filesize CHAR(50),
    filetype CHAR(50)
    );

Here is a PHP example:

    <?php
    
    // store.php3 - by Florian Dittmer <dittmer@gmx.net>
    // Example php script to demonstrate the storing of binary files into
    // an sql database. More information can be found at http://www.phpbuilder.com/
    ?>
    
    <html>
    <head><title>Store binary data into SQL Database</title></head>
    <body>
    
    <?php
    // code that will be executed if the form has been submitted:
    
    if ($submit) {
    
        // connect to the database
        // (you may have to adjust the hostname,username or password)
    
        MYSQL_CONNECT(""localhost"",""root"",""password"");
        mysql_select_db(""binary_data"");
    
        $data = addslashes(fread(fopen($form_data, ""r""), filesize($form_data)));
    
        $result=MYSQL_QUERY(""INSERT INTO binary_data (description,bin_data,filename,filesize,filetype) "".
            ""VALUES ('$form_description','$data','$form_data_name','$form_data_size','$form_data_type')"");
    
        $id= mysql_insert_id();
        print ""<p>This file has the following Database ID: <b>$id</b>"";
    
        MYSQL_CLOSE();
    
    } else {
    
        // else show the form to submit new data:
    ?>
    
        <form method=""post"" action=""<?php echo $PHP_SELF; ?>"" enctype=""multipart/form-data"">
        File Description:<br>
        <input type=""text"" name=""form_description""  size=""40"">
        <input type=""hidden"" name=""MAX_FILE_SIZE"" value=""1000000"">
        <br>File to upload/store in database:<br>
        <input type=""file"" name=""form_data""  size=""40"">
        <p><input type=""submit"" name=""submit"" value=""submit"">
        </form>
    
    <?php
    
    }
    
    ?>
    
    </body>
    </html>"
17,1,25,617afb21-e2be-477c-bc74-95e3f319bc5d,2008-08-01T12:13:50.207,23,How to use the C socket API in C++
18,3,25,617afb21-e2be-477c-bc74-95e3f319bc5d,2008-08-01T12:13:50.207,23,<c++><c><sockets><zos>
19,2,25,617afb21-e2be-477c-bc74-95e3f319bc5d,2008-08-01T12:13:50.207,23,"I've been having issues getting the C sockets API to work properly in C++. Specifically, although I am including sys/socket.h, I still get compile time errors telling me that AF_INET is not defined. Am I missing something obvious, or could this be related to the fact that I'm doing this coding on z/OS and my problems are much more complicated? ;)"
21,2,29,d4041f3b-1619-4b37-af9d-0b6713ce23a5,2008-08-01T12:19:17.417,19,"There are no HTTP headers that will report the clients timezone so far although it has been suggested to include it in the HTTP specification.

If it was me, I would probably try to fetch the timezone using clientside JavaScript and then submit it to the server using Ajax or something."
22,2,30,60100e19-92ec-4426-a26b-ee6b1ba46c36,2008-08-01T12:22:40.797,13,"I've had no trouble using the BSD sockets API in C++, in GNU/Linux. Here's the sample program I used:

    #include <sys/socket.h>
    
    int
    main()
    {
        return AF_INET;
    }

So my take on this is that z/OS is probably the complicating factor here, however, because I've never used z/OS before, much less programmed in it, I can't say this definitively. :-P"
23,2,31,5dda610a-0a7a-4fef-a2dd-b59aaca40ed2,2008-08-01T12:22:51.593,,"Does the parent div have a defined width either pixel or percentage? Not 100% sure but I think in IE7, the parent div needs a defined width for child percentage divs to work correctly."
