'Id', 'PostId', 'Score', 'Text', 'CreationDate', 'UserId'
'2', '35314', '8', "Yeah, I didn't believe it until I created a console app - but good lord!  Why would they give you the rope to hang yourself!  I hated that about VB.NET - the OrElse and AndAlso keywords!", '2008-09-06T08:09:52.330', '3'
'4', '35195', '0', "I don't see an accepted answer now, I wonder how that got unaccepted. Incidentally, I would have marked an accepted answer based on the answers available at the time. Also, accepted doesn't mean Best :)", '2008-09-06T08:42:16.980', '380'
'9', '47239', '0', 'Jonathan: Wow!  Thank you for all of that, you did an amazing amount of work!', '2008-09-06T12:26:30.060', '4550'
'10', '45651', '6', 'It will help if you give some details of which database you are using as techniques vary.', '2008-09-06T13:38:23.647', '242'
'12', '47428', '3', "One of the things that make a url user-friendly is 'discover-ability', meaning you can take a guess at url's simply from the address bar. http://i.love.pets.com/search/cats+dogs could easily lead to http://i.love.pets.com/search/pug+puppies etc", '2008-09-06T13:51:47.843', '4642'
'14', '47481', '0', 'I agree, both CodeRush and RefactorPro are visually impressive (most of which can be turned off BTW), but for navigating and refactoring Resharper is much better in my opinion of using both products.', '2008-09-06T14:15:46.897', '4642'
'15', '47373', '0', "Just wanted to mention that this is an excellent solution if you consider the problem to be linear (i.e. treating `A1B2` as a single number). I still think the problem is multi-dimensional, but I guess we'll just have to wait for the author to clarify :)", '2008-09-06T14:30:40.217', '2495'
'16', '47497', '1', "Indeed, the only way to do this is get the server to generate your CSS file which can be done in many ways depending on which language you are using. HttpHandlers are common in C#.  You could use jQuery or the likes to add styling to every element with the class 'ourColur' and parametrise your JS", '2008-09-06T14:42:35.303', '4642'
'18', '47513', '1', 'This advice goes against the spirit of CSS, which is separation of content and presentation. You way requires changing HTML for presentation sake, and stating in content which elements have same color.', '2008-09-06T15:02:40.980', '2515'
'19', '47466', '2', 'It was bad when people used table for everything (because CSS did not exist yet). Now, it the other way round sometimes. Someone would describe a table functionality and ask how to do it without a table, as if tables are inherently bad. Sigh.', '2008-09-06T15:11:11.227', '2515'
'20', '1517', '0', 'In the interests of tact, this is the kind of answer that should probably be made community wiki editable. Can someone with the right priveleges do that and add the Emacs bits?', '2008-09-06T15:44:39.477', '199'
'21', '47527', '1', "The Digg link was the first one I came across when going down the main page. It's purely coincidental that it also so happens to exemplify how far Digg has fallen - a story about sex addiction has been posted three times.", '2008-09-06T16:00:35.147', '658'
'22', '47626', '0', "concat infact doesn't do that.  I've edited my post with a decompilation of the concat method", '2008-09-06T16:46:31.450', '292'
'25', '47626', '9', 'infact it does. Look a the first lines of your concat code. The problem with concat is that it always generates a new String()', '2008-09-06T17:37:35.757', '4213'
'26', '47464', '0', 'Yep. I have been thinking about that and will probably try it out in a later release. The only reservation I have is that the processing is far shorter than the I/O latency, so there may not be much benefit.', '2008-09-06T19:15:41.277', '2353001'
'27', '47624', '6', '"Currently + is implemented using StringBuffer"\nFalse\n\nIt\'s StringBuilder. \n\nStringBuffer is the threadsafe impl of StringBuilder.', '2008-09-06T19:25:04.703', '4064'
'30', '36050', '0', 'I am assuming that this will work *only* if the user has an MP3 player installed, correct?', '2008-09-06T20:14:30.777', '4906'
'31', '47777', '11', 'That code will fail as .Distinct() returns an IEnumerable<T>. You have to add .ToList() to it.', '2008-09-06T20:21:55.457', '3394'
'33', '47513', '0', "Bloats the HTML & complicates application of styles.\n\nE.g., \n<H1.PageTitle>  This is the title of the page</H1>\nI want to have ALL the style for PageTitle in the CSS. With the method proposed, I'd need to wrap the above html in <span.a=theme-color> which doubles the CSS code a", '2008-09-06T20:33:10.610', '4906'
'41', '47885', '12', "I don't think that's the magic number he was refering to", '2008-09-06T22:32:45.003', '4213'
'44', '47885', '4', 'Maybe you should remove the "file-format" and "networking" tags you added because he\'s clearly not talking about those kinds of magic numbers.', '2008-09-06T22:42:13.623', '1597'
'48', '47895', '0', "Can you be more specific on why eliminating maginc numbers ISN'T alway good?", '2008-09-06T23:00:58.880', '4213'
'52', '47937', '1', "Thanks! That's what I was looking for. For those wondering where to get the Profiler from the video:\n\nhttp://www.codeplex.com/aspnet/Release/ProjectReleases.aspx?ReleaseId=13356", '2008-09-06T23:18:15.580', '91'
'59', '47885', '9', "It's still very useful to know that magic numbers may refer to more than simply a code issue.\n\n-Adam", '2008-09-07T00:13:43.713', '2915'
'61', '47960', '2', "You're really going to have to be more specific...\n\nAre you looking for websites that contain web snippets and tutorials? Code snippets themselves on a particular topic? This is a very, very general question.", '2008-09-07T00:18:11.643', '2658'
'62', '25139', '0', 'You should always try to use the header() function at the last moment possible (such as, before the imagepng() funciton).  The way it is now, if the php script dies "Cannot Initialize new GD image stream" the browser will try to interpret it as a gif, so it won\'t be intelligible.', '2008-09-07T00:25:07.773', '1615'
'63', '47960', '0', 'Have you even used any code snippets?\nThere is no "best" code snippets.  There are snippets that are more "useful" than others, but no "best" snippets.  I wish i can edit the title...', '2008-09-07T00:37:17.870', '4035'
'64', '44921', '4', 'As noted in other answers (including mine), the claims made in this answer are not correct. I would recommend deletion (if only to avoid enforcing this (probably common) misconception).', '2008-09-07T00:49:12.520', '4285'
'65', '48002', '0', "Hehe, of course, it's all true! That's why neither of them are really more productive and are just different!", '2008-09-07T01:09:55.887', '422'
'69', '24922', '3', "If you want to put something on the stack but don't know how big it is at compile time, alloca() can enlarge the stack frame to make room. There is no freea(), the entire stack frame is popped when the function returns.\n\nUsing alloca() for large allocations is fraught with peril.", '2008-09-07T02:17:23.370', '4761'
'70', '44921', '0', 'Please see my post below where I show, in my opinion conclusively, that the switch statement does a constant time branch.', '2008-09-07T02:38:14.537', '1254'
'71', '48058', '0', "How would you handle the case where it wasn't a neat power of two number?", '2008-09-07T02:43:57.440', '445087'
'72', '47860', '1', 'Can you call .vbs scripts from .bat files?', '2008-09-07T02:50:27.970', '4906'
