id,count,tagname,excerptpostid,wikipostid
1,280415,.net,3624959,3607476
2,806983,html,3673183,3673182
3,1769208,javascript,3624960,3607052
4,575590,css,3644670,3644669
5,1265522,php,3624936,3607050
8,297410,c,3624961,3607013
9,1289429,c#,3624962,3607007
10,606864,c++,3624963,3606997
12,202677,ruby,3624964,3607043
14,5683,lisp,3656743,3656742
16,1120872,python,3624965,3607014
17,1519552,java,3624966,3607018
18,203461,regex,3624967,3607017
19,180924,xml,3624968,3607588
21,551664,mysql,3624969,3607033
22,480831,sql,3625226,3607304
23,55850,tsql,4777787,4777786
26,60,j#,8355939,8355938
27,21853,browser,5388160,5388159
28,73207,linq,4890031,4890030
30,153798,database,4973766,4973765
33,7847,language-agnostic,5197182,5197181
34,40589,unix,4957075,4957074
35,54847,sockets,5253586,5253585
38,24295,flex,3625227,3608598
41,122682,vb.net,3625228,3607042
44,1704,structuremap,5007962,5007961
46,9,alt.net,25220551,25220550
48,13584,architecture,4083816,4083815
49,93102,forms,5602245,5602244
52,1791,aptana,5726271,5726270
53,115864,eclipse,3625229,3607482
55,692,subclipse,5488734,5488733
57,7762,air,4913302,4913301
58,173474,linux,3625112,3607012
61,28270,memory,5009628,5009627
63,25770,svn,3696944,3696943
64,127890,windows,3625230,3609881
65,1828,sitemap,5146483,5146482
66,10502,navigation,9678906,9678905
67,909,membership,9956567,9956566
71,1583,theory,18267058,18267057
72,254342,sql-server,3625231,3607030
73,59756,csv,4913959,4913958
75,484,sysadmin,8582713,8582712
76,6839,compression,6110824,6110823
80,83455,apache,4979625,4979624
81,2548,versioning,6352292,6352291
82,3002,media,12858677,12858676
83,3843,embed,7538285,7538284
87,18607,printing,6077509,6077508
88,13521,youtube,5304815,5304814
90,38534,pdf,4541006,4541005
95,369,convention,22836385,22836384
96,343360,asp.net,3625232,3607037
97,7809,migration,7982742,7982741
99,7595,filesystems,5378877,5378876
100,3442,stack-overflow,5796105,5796104
102,2561,hardware,5108397,5108396
105,22,hdd,13419617,13419616
110,9075,ide,4915532,4915531
113,897,music,11571004,11571003
114,289030,arrays,4969094,4969093
115,9281,tags,6575746,6575745
116,6143,cloud,4112372,4112371
117,942,mailto,10293284,10293283
118,43408,delphi,3625233,3607016
119,108309,git,3625234,3607047
121,64988,sqlite,3625235,3607650
125,10496,compiler-construction,3625236,3607487
126,2615,x11,6053748,6053747
127,6914,gtk,5125644,5125643
129,32114,opengl,4058612,4058611
131,469,collaboration,11751342,11751341
134,55563,sorting,5009631,5009630
136,46976,security,3625053,3612218
137,47261,oop,4913607,4913606
139,136894,string,4887591,4887590
142,14793,ant,3625237,3607490
143,379,phing,4886597,4886596
146,49725,email,5483666,5483665
148,36824,generics,4890360,4890359
152,10855,lucene,3625238,3607502
153,9863,vb6,3625239,3607228
154,219850,iphone,3625240,3607496
162,10882,com,4377329,4377328
169,3086,openid,4903934,4903933
171,2065,photoshop,5516368,5516367
173,20017,data-binding,5253639,5253638
176,519,beta,12471310,12471309
178,10788,crash,6967482,6967481
183,39035,authentication,5253712,5253711
186,34240,testing,4922785,4922784
189,156,trust,11291048,11291047
190,18691,deployment,5047602,5047601
194,107165,oracle,3625242,3607031
197,25617,random,6855850,6855849
198,43,nt,,
201,66323,api,4924743,4924742
205,848,puzzle,8268485,8268484
210,10,metacity,25220570,25220569
211,39,compiz,,
215,31411,iis,4890022,4890021
218,9629,directory,5840336,5840335
219,28718,encryption,5214024,5214023
220,8790,passwords,7065765,7065764
227,7044,iteration,8364364,8364363
228,70,peripherals,,
231,9125,db2,5099503,5099502
236,7249,embedded,3625244,3607299
238,3799,oledb,5146993,5146992
239,673,provider,15623639,15623638
240,665,legacy,11277949,11277948
241,4047,gis,4854756,4854755
242,6723,mapping,8328440,8328439
243,191689,django,3625245,3607538
245,8957,format,8058534,8058533
246,60,title-case,17661971,17661970
247,20830,reflection,5329327,5329326
248,89767,algorithm,3625246,3620111
250,3082,simulation,7161885,7161884
251,373,poker,5399042,5399041
253,1311,globalization,7335990,7335989
256,96303,postgresql,3625247,3607532
259,32075,math,5104883,5104882
261,12564,ftp,5094700,5094699
263,6069,registry,6564182,6564181
264,1379,cruisecontrol.net,5146958,5146957
265,12270,msbuild,3626874,3626873
267,10268,keyboard,5449445,5449444
268,9,colemak,12367861,12367860
269,38,qwerty,14718469,14718468
270,57,dvorak,8541083,8541082
271,3797,documentation,5120459,5120458
272,32064,xslt,3625248,3609260
273,286,sandcastle,5955054,5955053
276,41456,variables,5151905,5151904
277,41330,debugging,4985314,4985313
279,20810,unicode,3625249,3607542
281,8105,connection,8907048,8907047
282,1055,irc,6959209,6959208
283,921,social,12248958,12248957
284,371,.net-1.1,13154871,13154870
290,22347,twitter,4924829,4924828
291,1014,yahoo,6626298,6626297
292,27726,cookies,4926401,4926400
293,1807,vi,5310904,5310903
294,7410,ip,7743351,7743350
295,379,country,,
296,2320,lookup,15817463,15817462
299,35273,flash,3659514,3659513
305,11140,floating-point,5723344,5723343
306,2960,precision,12071700,12071699
308,5098,directx,5304735,5304734
309,13535,3d,6552230,6552229
311,4617,heap,8087152,8087151
312,27,purify,,
314,5792,size,8745322,8745321
316,3895,ocr,6514707,6514706
317,24133,indexing,5084724,5084723
318,386,article,21794781,21794780
319,465,chm,3625251,3607541
321,6793,malloc,5277059,5277058
324,4891,subdomain,5186409,5186408
325,13362,dns,5286156,5286155
328,963,account,16594889,16594888
329,1557,viewstate,6111181,6111180
